project_id,state,project_type,land_area_hectares,affected_families,compensation_disbursed_pct,approval_stage_days,legal_disputes_count,rehabilitation_progress_pct,documentation_completeness_pct,stakeholder_responsiveness_score,past_dept_delay_rate_pct,delayed
LA-1000,Maharashtra,Industrial Corridor,81.1,149,56.3,695,2,39.3,64.8,1.6,61.8,1
LA-1001,Punjab,Irrigation Canal,19.7,1289,59.3,54,1,72.2,47.7,3.8,82.1,0
LA-1002,Telangana,Railway,82.4,372,8.1,196,0,42.1,88.6,6.8,16.3,0
LA-1003,Karnataka,Irrigation Canal,12.4,1767,62.4,62,2,22.7,94.1,9.1,34.5,0
LA-1004,Rajasthan,Industrial Corridor,10.5,1704,79.1,718,1,53.1,92.1,1.4,58.9,0
LA-1005,Haryana,Railway,45.3,474,81.2,657,0,3.7,90.6,1.1,79.6,0
LA-1006,Maharashtra,Dam/Reservoir,41.2,1744,59.8,57,1,20.5,79.4,6.3,20.6,0
LA-1007,Kerala,Power Transmission Line,35.8,995,23.6,103,2,14.9,74.0,7.3,76.9,0
LA-1008,West Bengal,Port Development,30.3,1942,57.2,245,0,41.5,89.3,6.5,78.3,1
LA-1009,Maharashtra,Urban Metro,57.9,1460,57.9,225,0,84.1,84.4,9.8,39.4,0
LA-1010,Gujarat,Irrigation Canal,45.5,73,63.3,472,0,33.0,84.5,3.1,44.5,0
LA-1011,Jharkhand,Railway,72.1,409,85.9,453,0,39.0,89.9,5.3,23.8,0
LA-1012,Kerala,Urban Metro,76.9,810,50.4,328,1,61.3,88.6,9.2,37.2,0
LA-1013,Punjab,Irrigation Canal,53.2,426,64.5,156,1,71.6,83.0,6.6,31.6,0
LA-1014,Kerala,Railway,24.8,269,47.9,587,0,17.4,90.1,6.2,64.8,1
LA-1015,Punjab,Dam/Reservoir,24.6,1956,51.0,712,1,84.3,51.9,9.4,55.7,0
LA-1016,Gujarat,Power Transmission Line,31.3,1738,61.2,579,0,25.1,86.0,4.1,40.2,1
LA-1017,Bihar,Highway,53.0,872,35.2,728,1,55.5,92.5,2.4,23.9,1
LA-1018,Haryana,Power Transmission Line,69.1,433,74.3,823,0,40.8,94.0,2.2,37.0,0
LA-1019,Karnataka,Power Transmission Line,25.9,367,57.3,759,0,6.9,79.0,8.4,52.4,0
LA-1020,Gujarat,Port Development,100.7,1831,54.3,589,1,76.6,63.2,8.7,46.4,0
LA-1021,Tamil Nadu,Urban Metro,35.2,666,25.3,54,1,73.4,85.9,3.1,39.0,0
LA-1022,Bihar,Railway,3.9,30,20.7,307,0,42.2,58.3,5.1,34.1,0
LA-1023,Assam,Railway,145.1,797,70.8,390,1,84.6,54.9,6.3,26.0,0
LA-1024,Punjab,Industrial Corridor,43.9,911,85.5,644,0,41.9,86.5,2.3,6.0,0
LA-1025,Telangana,Highway,77.8,1248,59.4,763,0,54.9,71.5,8.6,74.4,0
LA-1026,Rajasthan,Irrigation Canal,7.5,680,93.1,579,0,43.6,77.9,4.8,23.2,0
LA-1027,Haryana,Railway,22.6,1846,74.1,333,0,61.1,94.0,8.8,50.4,0
LA-1028,Gujarat,Highway,32.3,1288,22.4,711,0,64.5,71.9,7.8,60.2,0
LA-1029,Karnataka,Dam/Reservoir,12.7,1973,52.4,629,1,72.0,87.1,3.7,31.6,1
LA-1030,Karnataka,Highway,34.6,737,37.2,720,0,41.3,63.3,7.4,62.5,0
LA-1031,West Bengal,Highway,29.4,1305,58.1,534,1,31.5,59.7,7.7,19.9,0
LA-1032,Maharashtra,Dam/Reservoir,93.6,733,51.2,585,1,93.8,26.9,3.8,15.8,0
LA-1033,Gujarat,Railway,3.8,1401,73.8,319,0,75.9,93.1,3.3,8.0,0
LA-1034,Assam,Port Development,62.3,1492,69.8,365,0,90.1,59.2,8.4,77.4,0
LA-1035,Maharashtra,Highway,82.0,647,31.7,256,0,7.4,34.6,7.1,43.4,0
LA-1036,Haryana,Railway,145.9,1875,51.5,238,0,43.5,72.9,7.7,22.0,0
LA-1037,Haryana,Highway,70.8,1715,59.1,590,0,38.4,94.3,3.8,28.7,0
LA-1038,Madhya Pradesh,Urban Metro,18.3,1789,52.3,351,1,76.2,64.9,7.5,53.8,0
LA-1039,Telangana,Industrial Corridor,33.8,439,71.2,128,0,60.1,83.9,7.4,6.4,0
LA-1040,Bihar,Power Transmission Line,49.8,1437,24.0,41,1,53.4,96.3,4.0,51.3,1
LA-1041,Punjab,Railway,103.0,217,28.1,775,2,42.4,40.9,3.4,16.1,1
LA-1042,Kerala,Highway,6.6,215,30.0,397,0,37.7,52.8,4.9,48.1,0
LA-1043,Tamil Nadu,Industrial Corridor,62.1,1946,72.9,523,0,21.8,81.7,7.7,41.4,1
LA-1044,Maharashtra,Railway,8.8,310,76.1,815,1,26.7,79.4,2.7,33.0,1
LA-1045,Jharkhand,Industrial Corridor,25.6,1728,32.0,109,1,45.0,48.6,8.9,19.1,0
LA-1046,Karnataka,Urban Metro,11.2,864,47.5,844,0,54.9,89.8,3.3,56.0,1
LA-1047,Assam,Port Development,22.3,610,17.2,636,1,34.5,78.5,8.6,28.0,0
LA-1048,Telangana,Power Transmission Line,73.6,151,19.3,579,0,81.9,82.7,2.4,13.3,0
LA-1049,Punjab,Highway,30.3,1351,35.6,393,1,51.0,55.6,7.7,22.3,0
LA-1050,Punjab,Irrigation Canal,20.5,1444,73.0,638,2,11.0,48.5,6.1,43.4,0
LA-1051,West Bengal,Port Development,18.1,936,61.4,191,0,70.4,39.5,7.0,80.2,0
LA-1052,Tamil Nadu,Industrial Corridor,14.3,1620,29.7,278,0,59.5,91.1,9.8,25.3,0
LA-1053,Karnataka,Industrial Corridor,69.9,649,34.3,865,3,56.2,89.5,1.5,41.6,1
LA-1054,Karnataka,Power Transmission Line,42.5,1105,21.8,255,0,46.6,73.3,2.3,62.2,0
LA-1055,Uttar Pradesh,Railway,53.7,577,38.0,650,0,42.7,77.5,1.7,53.3,1
LA-1056,Gujarat,Dam/Reservoir,10.2,1166,41.6,837,0,36.6,42.0,5.7,20.6,0
LA-1057,Bihar,Port Development,42.6,276,56.1,537,1,70.8,82.0,8.2,47.7,0
LA-1058,Kerala,Dam/Reservoir,3.3,954,43.3,274,0,26.1,86.7,1.5,43.8,0
LA-1059,Telangana,Port Development,93.1,1100,7.8,765,0,50.7,57.3,8.0,14.7,1
LA-1060,Assam,Irrigation Canal,62.1,1115,21.7,745,0,49.1,55.3,4.9,45.5,0
LA-1061,Kerala,Irrigation Canal,37.9,895,79.2,494,0,42.7,27.2,9.5,60.1,0
LA-1062,Tamil Nadu,Railway,2.6,1288,51.1,112,0,59.0,64.9,4.4,29.6,0
LA-1063,Jharkhand,Dam/Reservoir,17.3,1026,47.7,402,2,79.7,49.8,9.9,8.8,0
LA-1064,Rajasthan,Industrial Corridor,11.0,570,57.3,394,1,25.4,97.2,6.0,59.6,0
LA-1065,Tamil Nadu,Power Transmission Line,36.3,434,35.8,178,1,27.8,45.9,9.9,30.6,0
LA-1066,Assam,Dam/Reservoir,55.1,1297,72.6,367,1,31.7,74.3,6.7,33.7,0
LA-1067,Tamil Nadu,Industrial Corridor,52.9,1877,53.5,146,0,10.5,91.9,4.1,31.9,0
LA-1068,Maharashtra,Dam/Reservoir,116.2,1507,36.5,626,1,46.4,61.1,8.2,58.1,0
LA-1069,Karnataka,Dam/Reservoir,39.9,1278,88.9,394,1,41.6,43.3,5.4,26.8,1
LA-1070,Punjab,Highway,97.3,1843,49.0,660,0,61.4,90.1,3.8,14.6,0
LA-1071,West Bengal,Irrigation Canal,32.4,1799,74.2,415,1,65.6,87.8,5.3,62.6,0
LA-1072,Karnataka,Urban Metro,60.3,1015,71.5,645,0,31.5,50.6,8.8,14.9,0
LA-1073,Bihar,Port Development,35.0,222,25.9,662,0,40.2,37.1,7.6,23.6,0
LA-1074,Telangana,Railway,51.7,1270,36.4,152,0,45.7,44.9,2.6,38.4,0
LA-1075,Karnataka,Irrigation Canal,40.3,1247,86.0,403,0,67.9,66.7,8.5,33.4,0
LA-1076,Tamil Nadu,Industrial Corridor,23.4,558,40.4,677,0,24.3,84.8,4.9,71.5,0
LA-1077,West Bengal,Port Development,53.0,1699,52.2,537,1,46.9,49.8,1.7,46.2,0
LA-1078,Odisha,Highway,63.2,1740,36.1,207,1,11.5,99.6,2.3,75.6,1
LA-1079,Telangana,Industrial Corridor,71.4,665,62.6,750,0,11.3,76.6,1.6,60.4,1
LA-1080,Jharkhand,Irrigation Canal,48.2,956,35.8,187,2,13.7,55.8,7.1,56.9,1
LA-1081,Rajasthan,Railway,2.6,394,74.1,894,0,46.8,61.8,3.3,52.1,0
LA-1082,Bihar,Industrial Corridor,55.0,360,57.6,639,1,22.1,72.1,1.9,15.1,0
LA-1083,Haryana,Power Transmission Line,13.4,533,61.9,297,1,18.3,63.4,4.3,4.2,1
LA-1084,Telangana,Urban Metro,46.6,734,70.0,183,2,27.1,15.8,8.8,53.5,0
LA-1085,Kerala,Irrigation Canal,51.5,549,52.6,812,2,48.5,56.8,6.7,16.2,1
LA-1086,Maharashtra,Port Development,6.7,307,42.0,475,1,73.9,51.1,5.4,58.1,0
LA-1087,Madhya Pradesh,Highway,41.9,897,17.7,727,0,53.1,80.8,7.6,51.7,0
LA-1088,Punjab,Port Development,9.9,1249,73.0,750,0,22.1,59.2,1.7,18.2,1
LA-1089,Haryana,Highway,2.2,655,72.9,70,0,11.1,46.9,8.9,64.7,0
LA-1090,Rajasthan,Urban Metro,9.7,1069,89.6,618,0,2.5,56.1,2.6,23.9,0
LA-1091,Punjab,Irrigation Canal,37.9,546,61.5,307,0,55.3,43.9,1.2,5.7,0
